filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000001.jpg,58458,{},1,0,"{""name"":""rect"",""x"":157,""y"":362,""width"":644,""height"":64}",{}
000002.jpg,117371,{},1,0,"{""name"":""rect"",""x"":24,""y"":116,""width"":296,""height"":29}",{}
000003.jpg,220178,{},1,0,"{""name"":""rect"",""x"":40,""y"":137,""width"":343,""height"":34}",{}
000004.jpg,219311,{},1,0,"{""name"":""rect"",""x"":50,""y"":165,""width"":365,""height"":31}",{}
000005.jpg,193311,{},1,0,"{""name"":""rect"",""x"":40,""y"":139,""width"":325,""height"":29}",{}
000006.jpg,183024,{},1,0,"{""name"":""rect"",""x"":43,""y"":162,""width"":390,""height"":37}",{}
000007.jpg,357491,{},1,0,"{""name"":""rect"",""x"":46,""y"":160,""width"":385,""height"":35}",{}
000008.jpg,252252,{},1,0,"{""name"":""rect"",""x"":31,""y"":166,""width"":386,""height"":31}",{}
000009.jpg,214213,{},1,0,"{""name"":""rect"",""x"":54,""y"":161,""width"":355,""height"":33}",{}
000010.jpg,217005,{},1,0,"{""name"":""rect"",""x"":128,""y"":642,""width"":1204,""height"":99}",{}
000011.jpg,108447,{},1,0,"{""name"":""rect"",""x"":41,""y"":115,""width"":255,""height"":31}",{}
000012.jpg,218906,{},1,0,"{""name"":""rect"",""x"":45,""y"":163,""width"":414,""height"":39}",{}
000013.jpg,216589,{},1,0,"{""name"":""rect"",""x"":35,""y"":145,""width"":346,""height"":26}",{}
000014.jpg,134784,{},1,0,"{""name"":""rect"",""x"":42,""y"":160,""width"":373,""height"":36}",{}
000015.jpg,305709,{},1,0,"{""name"":""rect"",""x"":37,""y"":162,""width"":404,""height"":38}",{}
000016.jpg,258844,{},1,0,"{""name"":""rect"",""x"":55,""y"":167,""width"":363,""height"":33}",{}
000017.jpg,251336,{},1,0,"{""name"":""rect"",""x"":48,""y"":159,""width"":370,""height"":38}",{}
000018.jpg,165578,{},1,0,"{""name"":""rect"",""x"":52,""y"":166,""width"":377,""height"":37}",{}
000019.jpg,150439,{},1,0,"{""name"":""rect"",""x"":44,""y"":162,""width"":376,""height"":39}",{}
000020.jpg,224051,{},1,0,"{""name"":""rect"",""x"":50,""y"":137,""width"":349,""height"":37}",{}
000021.jpg,163483,{},1,0,"{""name"":""rect"",""x"":150,""y"":627,""width"":1092,""height"":95}",{}
000022.jpg,137295,{},1,0,"{""name"":""rect"",""x"":24,""y"":100,""width"":272,""height"":30}",{}
000023.jpg,149669,{},1,0,"{""name"":""rect"",""x"":62,""y"":158,""width"":375,""height"":42}",{}
000024.jpg,216106,{},1,0,"{""name"":""rect"",""x"":30,""y"":160,""width"":399,""height"":40}",{}
000025.jpg,128678,{},1,0,"{""name"":""rect"",""x"":40,""y"":152,""width"":328,""height"":33}",{}
000026.jpg,308731,{},1,0,"{""name"":""rect"",""x"":36,""y"":155,""width"":415,""height"":42}",{}
000027.jpg,132309,{},1,0,"{""name"":""rect"",""x"":42,""y"":160,""width"":191,""height"":36}",{}
000028.jpg,172879,{},1,0,"{""name"":""rect"",""x"":53,""y"":156,""width"":330,""height"":35}",{}
000029.jpg,215310,{},1,0,"{""name"":""rect"",""x"":51,""y"":156,""width"":336,""height"":35}",{}
000030.jpg,38274,{},1,0,"{""name"":""rect"",""x"":94,""y"":266,""width"":470,""height"":42}",{}
000032.jpg,242927,{},1,0,"{""name"":""rect"",""x"":39,""y"":163,""width"":390,""height"":35}",{}
000033.jpg,281717,{},1,0,"{""name"":""rect"",""x"":41,""y"":162,""width"":412,""height"":40}",{}
000034.jpg,237786,{},1,0,"{""name"":""rect"",""x"":37,""y"":162,""width"":385,""height"":33}",{}
000035.jpg,184951,{},1,0,"{""name"":""rect"",""x"":36,""y"":154,""width"":394,""height"":42}",{}
000036.jpg,107740,{},1,0,"{""name"":""rect"",""x"":40,""y"":160,""width"":399,""height"":37}",{}
000037.jpg,175006,{},1,0,"{""name"":""rect"",""x"":24,""y"":123,""width"":319,""height"":34}",{}
000038.jpg,105081,{},1,0,"{""name"":""rect"",""x"":45,""y"":158,""width"":379,""height"":39}",{}
000039.jpg,173724,{},1,0,"{""name"":""rect"",""x"":359,""y"":456,""width"":877,""height"":77}",{}
000040.jpg,82534,{},1,0,"{""name"":""rect"",""x"":81,""y"":351,""width"":761,""height"":66}",{}
000041.jpg,208422,{},1,0,"{""name"":""rect"",""x"":34,""y"":155,""width"":405,""height"":43}",{}
000042.jpg,25857,{},1,0,"{""name"":""rect"",""x"":72,""y"":162,""width"":410,""height"":46}",{}
